AL1,1111971,75,692478,124,562050,189,369127,281,566842,669
AL10,575065,23,424629,58,317086,144,223138,83,331285,308
AL2,651855,77,518346,89,462227,77,278307,65,487036,308
AL3,908274,73,621092,87,512221,155,316636,73,574350,388
AL4,783584,80,638075,123,418554,65,288115,72,556236,340
AL5,1165619,194,691428,136,542163,70,414539,79,816001,479
AL6,878128,79,568954,41,499011,27,360463,23,673313,170
AL7,530886,44,428457,101,365983,198,249511,167,354443,510
AL8,738593,28,548725,40,441234,53,283764,36,485545,157
AL9,1081035,43,588889,36,512147,44,331203,32,650435,155
B1,265000,1,0,0,226200,10,197301,379,198215,390
B10,0,0,145333,18,138630,94,71000,6,136214,118
B11,284283,14,186114,63,138414,243,94898,20,150699,340
B12,0,0,226990,5,149262,42,125795,169,132700,216
B13,455634,50,356124,91,214399,131,142738,157,246352,429
B14,320856,36,217052,207,196483,261,124902,81,201504,585
B15,978911,49,534025,11,316050,18,223064,471,299805,549
B16,311316,25,271964,47,180404,47,199812,280,213012,399
B17,604196,69,382962,93,308455,178,171074,85,345297,425
B18,0,0,152571,7,124375,51,197183,71,165978,129
B19,0,0,154333,3,125675,36,256825,6,145072,45
B2,0,0,0,0,0,0,179897,34,179897,34
B20,307117,30,212316,72,147033,99,87304,14,187343,215
B21,204750,2,158630,38,118368,106,0,0,130031,146
B23,224345,42,176910,231,147336,207,108940,118,156592,598
B24,262863,37,194575,140,166724,111,95304,45,179464,333
B25,285937,8,170651,46,136895,80,89500,14,150960,148
B26,260037,27,188290,325,170052,122,105032,62,178122,536
B27,272000,11,203725,94,162482,127,111072,37,174301,269
B28,303880,27,256353,190,226104,107,115201,34,237491,358
B29,623249,23,232027,150,193806,197,136617,67,220759,437
B3,0,0,0,0,955000,1,222066,140,227264,141
B30,382386,24,260233,130,204641,225,130376,64,219855,443
B31,338216,105,182327,363,162961,249,145378,156,188950,873
B32,291430,35,198044,163,146553,182,155806,33,179892,413
B33,256472,20,167566,160,145598,148,92987,27,157744,355
B34,220429,7,172204,96,147919,126,90192,18,155206,247
B35,0,0,163375,8,142484,45,88350,10,136544,63
B36,302909,53,234233,162,161710,120,114664,47,206268,382
B37,293089,76,201031,148,152628,196,96124,52,184197,472
B38,322740,29,199568,96,158482,119,104785,36,182677,280
B4,0,0,0,0,0,0,147250,9,147250,9
B42,285043,50,166608,197,156256,91,97916,23,176026,361
B43,291068,45,201959,223,178770,110,136597,54,197166,432
B44,183786,11,155197,266,136730,184,89113,23,145686,484
B45,565741,117,220980,181,161845,140,155733,45,281274,483
B46,447059,49,260051,69,207683,56,150279,35,271480,209
B47,424188,66,307827,75,246441,27,151357,7,335982,175
B48,590657,22,346933,24,251423,13,197500,2,409580,61
B49,497312,46,251233,43,211856,44,211650,23,306852,156
B5,508096,13,266000,5,188764,14,196447,237,212401,269
B50,402296,88,252357,42,190560,29,132000,7,315972,166
B6,0,0,143875,8,116416,56,63750,6,115040,70
B60,409793,191,244246,147,207497,71,136260,58,292955,467
B61,383602,169,231953,148,190425,106,171667,56,269219,479
B62,312884,102,217287,138,176212,98,117366,31,224409,369
B63,281949,74,190996,252,155779,135,91324,72,181240,533
B64,252785,73,164639,84,138675,67,88676,17,178762,241
B65,238237,73,159641,141,134272,78,98068,14,169107,306
B66,245026,37,200570,86,142809,97,114587,58,168394,278
B67,286781,16,183499,86,163985,170,83714,7,175028,279
B68,263261,19,172367,211,153436,125,85957,29,164176,384
B69,223045,55,141986,146,125936,78,78942,26,147124,305
B7,0,0,118750,2,119321,14,85000,1,117235,17
B70,225106,26,154922,100,140456,122,79142,32,146476,280
B71,230770,37,157484,166,141804,84,70505,27,154446,314
B72,462690,58,316664,43,239984,32,143091,54,298711,187
B73,430033,104,329502,142,262169,70,169787,81,311378,397
B74,622836,204,317443,178,283286,33,190067,137,396651,552
B75,476820,153,296429,169,232524,84,134468,48,328274,454
B76,385412,125,265796,139,218956,79,131420,56,275136,399
B77,292322,239,185672,306,160326,206,114404,53,206183,804
B78,327940,128,202154,171,165439,84,132026,17,231715,400
B79,344464,171,216779,135,173834,83,122305,40,250557,429
B8,202143,7,146823,61,126774,162,70900,5,133034,235
B80,384094,32,273690,39,250918,31,116744,8,287975,110
B9,200000,1,152677,26,122158,103,91429,14,125221,144
B90,468172,236,299302,352,270977,140,185152,238,308329,966
B91,622419,209,375627,101,301030,32,240400,178,423939,520
B92,488079,79,271758,322,246676,120,147407,103,273796,624
B93,670314,181,421791,82,337365,38,289439,35,532333,336
B94,838031,62,366083,29,390214,7,364900,5,651750,103
B95,825377,33,364974,19,363870,23,220861,18,500177,93
B96,440659,44,305235,17,239762,17,133150,10,340744,88
B97,332452,264,214680,210,185954,120,118462,84,243533,678
B98,306746,173,200794,223,158428,261,117221,68,202986,725
BA1,734114,132,498938,110,524545,215,379102,239,510300,696
BA10,395194,18,227917,6,239539,23,178857,7,282267,54
BA11,453022,213,306541,180,262431,230,150281,55,324920,678
BA12,400917,164,270117,105,201131,116,116565,41,286908,426
BA13,354955,138,232065,125,196058,121,148290,40,253883,424
BA14,359447,289,236305,262,204057,251,148001,126,253942,928
BA15,524728,73,369493,54,362361,73,233943,38,393277,238
BA16,311212,59,229063,68,219440,65,104616,28,232412,220
BA2,648334,183,414441,246,407680,399,401133,227,449591,1055
BA20,328347,49,222452,56,167732,58,116367,45,209189,208
BA21,288762,118,205613,202,172380,247,112082,74,197316,641
BA22,398443,139,261445,65,202955,91,132707,28,292762,323
BA3,367423,210,253577,178,206680,186,144111,69,265446,643
BA4,411767,100,246578,68,200011,85,128182,38,274281,291
BA5,442381,132,273385,98,257309,99,192803,66,312366,395
BA6,389097,102,231275,38,229541,71,124483,21,290465,232
BA7,483903,19,224630,23,217589,19,115333,6,286371,67
BA8,396160,31,232024,21,183605,21,122625,4,279216,77
BA9,390222,65,230943,35,211885,37,116068,22,275727,159
BB1,242345,131,138038,259,92645,301,80235,17,136651,708
BB10,210741,81,140729,153,67933,320,129833,3,109030,557
BB11,209463,44,133570,137,64963,301,77022,21,96793,503
BB12,226693,145,147366,144,91661,299,74368,8,137740,596
BB18,255856,36,172059,86,103442,237,74000,1,134994,360
BB2,253512,234,148522,231,91893,319,90426,21,155085,805
BB3,224677,97,148589,102,87259,322,87589,14,123876,535
BB4,318040,171,161120,149,110533,316,157817,52,176638,688
BB5,203096,112,142329,187,79043,494,84689,14,111022,807
BB6,323510,54,174354,52,84456,124,160417,6,160894,236
BB7,365896,244,224477,180,162716,273,128251,28,245099,725
BB8,266229,59,172369,71,109363,262,129625,12,143947,404
BB9,266174,64,131958,134,72977,405,74214,7,106217,610
BD1,0,0,0,0,117167,6,66429,108,69100,114
BD10,304967,158,158594,177,141250,146,106057,55,191626,536
BD11,327059,51,187618,80,133500,68,113345,26,194286,225
BD12,236919,38,146641,108,102373,95,75500,2,142867,243
BD13,266831,147,166608,195,113871,207,110304,13,172096,562
BD14,223922,16,146748,47,120148,56,98158,6,142377,125
BD15,249163,50,149782,126,115180,89,84722,9,154541,274
BD16,340626,86,199932,149,156675,154,117229,67,199706,456
BD17,326657,76,203474,137,164868,69,96723,29,215057,311
BD18,263641,41,160804,183,149955,170,102447,36,161434,430
BD19,279230,100,153756,126,127493,126,90430,15,176340,367
BD2,180214,35,128863,285,102295,157,61021,12,122343,489
BD20,302483,178,196201,281,149287,300,119744,32,199232,791
BD21,229539,19,118661,74,84833,172,70094,8,103642,273
BD22,277229,92,154613,188,133791,277,136328,9,164063,566
BD23,407248,104,261859,148,186313,239,163383,80,242922,571
BD24,365362,29,245720,28,205005,41,230363,17,259105,115
BD3,135000,1,110553,32,73345,170,53385,14,77828,217
BD4,173415,54,106389,156,84027,121,63884,13,107438,344
BD5,179707,7,103278,59,71349,131,40875,4,83889,201
BD6,181433,45,118052,226,104228,158,64322,9,118473,438
BD7,206111,9,116524,86,75672,180,41400,3,92163,278
BD8,221677,13,122248,54,82698,96,77332,21,103512,184
BD9,254235,23,139465,87,103791,74,54653,26,128963,210
BH1,345857,14,253667,27,234294,34,186766,418,198225,493
BH10,322384,177,276340,57,253167,33,165971,36,287600,303
BH11,314745,93,250347,76,232842,54,159576,19,264062,242
BH12,308200,205,267603,174,236770,69,167987,115,258259,563
BH13,1641412,65,617500,4,925122,7,463209,197,757838,273
BH14,706266,208,395126,73,328813,42,287712,268,451209,591
BH15,361001,163,283092,130,271212,110,223823,284,275173,687
BH16,391031,114,275941,60,241406,57,164500,17,313269,248
BH17,335842,111,268671,94,228979,105,145928,41,263702,351
BH18,485741,144,340577,13,276500,2,300835,46,433003,205
BH19,544549,110,354944,27,304696,23,221788,95,382595,255
BH2,584700,5,605000,2,364575,6,188430,252,203039,265
BH20,446953,106,298483,72,272299,79,190016,31,334270,288
BH21,495080,316,325462,134,306627,97,188369,65,395497,612
